id	audio	n_frames	tgt_text
panlingua_mr-hi_20221394927_1	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_1.wav	40753	सविता मटकर आपके लिए खबर लेकर आई हैं।
panlingua_mr-hi_20221394927_2	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_2.wav	117988	देश कोविड-19 के खिलाफ टीके की 150 करोड़ से अधिक खुराक पूरी करने की दिशा में अग्रसर है।
panlingua_mr-hi_20221394927_3	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_3.wav	69463	इस बीच एक नए प्रकार के कोरोना वायरस की खोज से चिंता बढ़ गई है।
panlingua_mr-hi_20221394927_4	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_4.wav	116956	इस पृष्ठभूमि में हम श्रोताओं से दोनों टीकाकरण जल्द से जल्द पूरा करने की अपील करते हैं।
panlingua_mr-hi_20221394927_5	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_5.wav	161278	और उन्हें और दूसरों को टीका लगवाने के लिए प्रोत्साहित करें और मदद करें क्योंकि पंद्रह से अठारह वर्ष की आयु के बच्चों को टीका लगाया जाना शुरू हो जाता है।
panlingua_mr-hi_20221394927_6	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_6.wav	120827	मास्क लगाना, सोशल डिस्टेंसिंग, हाथ और चेहरे की स्वच्छता के तीन सरल उपायों का पालन करें।
panlingua_mr-hi_20221394927_7	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_7.wav	213375	कोविड के संबंध में जानकारी और मार्गदर्शन के लिए राष्ट्रीय हेल्पलाइन नंबर 011- 23 978 046 और एक शून्य प्लस पांच पर संपर्क करें।
panlingua_mr-hi_20221394927_8	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_8.wav	23370	मुख्य बातें।
panlingua_mr-hi_20221394927_9	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_9.wav	122753	प्रधानमंत्री ने जोर देकर कहा कि देश में खेल संस्कृति के विकास के लिए युवाओं को खेलों में विश्वास होना चाहिए।
panlingua_mr-hi_20221394927_10	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_10.wav	50493	मेजर ध्यानचंद स्पोर्ट्स यूनिवर्सिटी का शिलान्यास।
panlingua_mr-hi_20221394927_11	/home/user/anamika_ml_project/dataset/iwslt2023_mr-hi/train/wav/panlingua_mr-hi_20221394927_11.wav	112941	देश में पंद्रह से अठारह साल के बच्चों का आज से कोविड टीकाकरण शुरू हो गया है।
