id	audio	n_frames	tgt_text
mrt_03349_00590518266	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03349_00590518266.wav	221184	खूप मजा येईल मी तुम्हाला रस्ता सांगू शकतो
mrt_09697_02051638651	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_09697_02051638651.wav	383408	आपण कोडी घालू शकतो चला पाहुया तुम्हाला किती चित्रविचित्र गोष्टी माहीत आहेत ते
mrt_03397_01655107301	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03397_01655107301.wav	253952	अहाहा ! मी स्थानिक मासळी बाजार शोधण्यात तुम्हाला मदत करू शकते
mrt_09697_00062589693	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_09697_00062589693.wav	503780	आता सारस्वत बँकेची चौथी शाखा महात्मा ज्योतिबा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे
mrt_04310_01166829364	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_04310_01166829364.wav	335872	अभिजीतने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात पहिला आला
mrt_02436_01679317253	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02436_01679317253.wav	289785	कृतयुगात कर्दभ नावाचे तपोनिष्ठ ऋषी होऊन गेले
mrt_03397_00582001915	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03397_00582001915.wav	233472	आई वडिलांची सेवा त्यांनी त्यांच्या शेवटच्या क्षणापर्यंत केली
mrt_03397_00786624514	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03397_00786624514.wav	380928	एक बस वीस मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त दोन सेकंदं आहेत
mrt_03398_01649536946	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03398_01649536946.wav	409600	आता अ‍ॅक्सिस बँकेची सातवी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे
mrt_02484_00022906623	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02484_00022906623.wav	364544	अशा गोष्टी तर मी नेहमीच लक्षात ठेवतो . म्हणून मला असं वाटतंय की असं कधीच झालेलं नाही
mrt_02624_01516808342	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02624_01516808342.wav	577536	अकेडिया नॅशनल पार्क हे जगातल्या सर्वांत विलक्षण अशा नॅशनल पार्कांपैकी एक असून ते दोन हजार चौदा साली नॅशनल पार्क म्हणून घोषित केले गेले
mrt_04310_01236791834	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_04310_01236791834.wav	348160	अश्विनीचा जन्म दोन हजार दहा सालातील वैशाख ह्या महिन्यात उस्मानाबाद इथे झाला
mrt_02624_01529772873	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02624_01529772873.wav	294912	तुम्हाला असं वाटलं याबद्दल माफ करा . मी तुम्हाला काय मदत करू शकतो ?
mrt_02436_00818835080	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02436_00818835080.wav	477031	केतकीला यानिमित्त सव्वातीन हजार रुपयांचे भरघोस बक्षीस मिळाले आणि तिने लगेच हे पैसे आपल्या आईवडलांना दिले
mrt_02436_01587972491	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02436_01587972491.wav	436907	कॅथरीन झेटा जोन्स ही हा सन्मान प्राप्त झालेली सोळावी महिला आहे आणि याचा तिला रास्त अभिमान आहे
mrt_03397_01611750965	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03397_01611750965.wav	151552	माझी रास कर्क . तुमची ?
mrt_03398_01719586644	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03398_01719586644.wav	217088	नक्कीच तुमचं नाव छान असेल काय नाव आहे तुमचं ?
mrt_09697_01503187468	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_09697_01503187468.wav	436907	आदित्यला जून महिन्यात सोनीमध्ये चांगल्या पगारावर नोकरी लागली आणि त्याच्या कष्टाचे चीज झाले
mrt_03349_00687273839	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03349_00687273839.wav	569344	क्लिंट मॅककेला बंगलोर रॉयल चॅलेंजर्स संघातर्फे खेळायची इच्छा तर आहे , परंतु त्याची अलीकडील कामगिरी पाहता ते शक्य होईल असे वाटत नाही
mrt_04310_01208064878	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_04310_01208064878.wav	249856	कलश स्थापून घरातल्या देवीच्या टाकाचे पूजन होडीवर मध्यभागी करतात
mrt_02624_01155841202	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02624_01155841202.wav	331776	एखाद्या छानश्या आरामशीर पलंगापेक्षा जास्त चांगलं ते काय ?
mrt_03349_00353991187	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03349_00353991187.wav	221184	खूप मजा येईल मी तुम्हाला मार्ग दाखवू शकतो
mrt_09697_02006181216	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_09697_02006181216.wav	303160	आम्ही उद्या नवी गाडी काढू आणि छानपैकी लांब ड्राईव्हला जाऊ
mrt_02484_00095335905	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02484_00095335905.wav	319488	तुम्हाला वाट पहावी लागली का ? क्वचित कधी माझा वेग मंदावतो
mrt_03398_01436708238	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03398_01436708238.wav	380928	आता अ‍ॅक्सिस बँकेची अठरावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे
mrt_02624_00312526590	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_02624_00312526590.wav	364544	अदितीचा जन्म एकोणीसशे अठ्ठ्याण्णव सालातील ऑगस्ट या महिन्यात पाटणा इथे झाला
mrt_03349_00939143906	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03349_00939143906.wav	294912	खवासखान हा आदिलशाहीतील एक प्रमुख सरदार होता
mrt_09697_01962810077	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_09697_01962810077.wav	227370	मला अनेक अभिनेते आवडतात . तुम्हाला कोण आवडतं ?
mrt_04310_01968615043	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_04310_01968615043.wav	368640	अश्विनी ह्या सुट्टीत रोमला जाऊन तिथे चांगली दोन दिवस राहून अख्खं शहर पालथं घालणार आहे
mrt_03398_01195129616	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_03398_01195129616.wav	217088	नक्कीच तुमचं नाव छान असेल . काय नाव आहे तुमचं ?
mrt_04310_01826246565	/home/user/anamika_ml_project/dataset/mr_in_female/mrt_04310_01826246565.wav	397312	काहीशा बुजऱ्या व बावळट अशोककुमारचा आत्मविश्वास वाढवण्यात लीला चिटणीसांचा फार मोठा हातभार आहे
